paperId,referencedPaperId
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,e67a2817089312746d69b38ce9abfdc4b1bc69c3
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,71dd291b4be0d074982f521ff654468755084a76
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,fe4c5074f021cd1c810892c1b6bc267b23aa6e5c
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,4bc8bd72ffa9bda2e3a7aef483008935a7a97656
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,d69216947188267d5537ee0f0501b2d960ecc457
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,5a35594dd9e5a820da6aab58f48f1b13c7e2601b
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,55a4e4a42cd86fac55491d089d07d04f09dcf957
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,4578871d2b271e4b5473c9cb81d431d6bf58c607
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,689c7a86d973895a14feb984b8faa3d5581038ef
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,9d64757a08ba95ded2ac92f738162a101336b78b
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,7c70459d56214a7a3202732670f5ce726508eff6
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,59f1df2f60280eea79d195b9c561d52a77fb24de
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,283ae048d4bd7603bbf7bdae059580079439e1b8
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,dba7c73503c4b7abad96aaa4a167fd7e701c4059
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,89cd8b0a7fc77b6d499644548f25f47ed03c5270
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,89ce0f3479754c3b3fb158a0ae28610dc69aff25
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,99ec2850819ab210dbad5c24247d31deaa853fa7
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,27e61c816c7d987707109ef3a2d9c33d767dbdd9
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,74b2c1bce3963fbb1300dc0995b9e275f3393cb9
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,ecb7e7283ba4c88a1e5c1d54d30c18335e6a964b
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,d2e4fb59b2bf04a0b324db22ed6caf97ffd8f56a
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,fc881e8d0432ea8e4dd5fda4979243cac5e4b9e3
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
a2a514ed839dafdd0fb76d6c2615f25f35bf8087,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,0b083953239d0617b534a0d76762fa8350db4e6f
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,e67a2817089312746d69b38ce9abfdc4b1bc69c3
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,8356864e3802eaee426a1fec7ea838bf8d7d7e57
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,49a63e92b1b0e744aca058edfd0bdf60c59d859c
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,d69216947188267d5537ee0f0501b2d960ecc457
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,55a4e4a42cd86fac55491d089d07d04f09dcf957
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,afe18b71fa5b215a554a2da141f677081fac4503
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,ad98af3aeb923f14c3afcc8aa481540779d1cf5c
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,a49a96c561c10177764e63817fecf814b04a1739
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,4578871d2b271e4b5473c9cb81d431d6bf58c607
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,26ca95a72994fdba1c1855eb6b699f98c992b5f4
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,7c70459d56214a7a3202732670f5ce726508eff6
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,1c3ae8d6928872f5adcdb73b0d1fb2838899b563
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,bb2fae2c2f24084fc3ece9001eb96041b804b1b7
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,d93bcf0685c15c45d078eafea565969c04daccd3
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,1ba250d66f1f70adf76080ae4da3db88d25eaa58
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,c4190b294381806cc9eb12440a7fced1004ece71
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,3b1bae14269d1e3bbb45f79bb471af3bd0bf4e1e
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,74b2c1bce3963fbb1300dc0995b9e275f3393cb9
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,6d9fccbcb8695ead9c11411082310664579aaa44
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,c4c9df0db1922f5626758ea6293cc9e599b91be1
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,78a2a5f429ba5b2df22ce97b9b443f0fb769e46c
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,fc881e8d0432ea8e4dd5fda4979243cac5e4b9e3
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
6c755fc901d0b41a5d73c265f64a5aacf62e83b8,
61c931d50f3e32f70abf1bccddf2479212dd2fde,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
61c931d50f3e32f70abf1bccddf2479212dd2fde,7c9dba2d364fd14d93ec3b5375b151c9cd707d05
61c931d50f3e32f70abf1bccddf2479212dd2fde,bc455a00e67cd9718c4fa4999794530c5ee5989f
61c931d50f3e32f70abf1bccddf2479212dd2fde,bbebeaf5e817b84096dce9d657bf6698320471f1
61c931d50f3e32f70abf1bccddf2479212dd2fde,037891f3cec1f81bfb2fec10e9b294bb25845384
61c931d50f3e32f70abf1bccddf2479212dd2fde,407222cde46ab42d6e5365bd748225160b262aef
61c931d50f3e32f70abf1bccddf2479212dd2fde,4f00435f66a3dee7d5965fe8696c56f67021f1cc
61c931d50f3e32f70abf1bccddf2479212dd2fde,64e4807486c2f58434f05a45d467029e30e61007
61c931d50f3e32f70abf1bccddf2479212dd2fde,b52603ac4d8bfd18128b3d1a9593e9f8744c8040
61c931d50f3e32f70abf1bccddf2479212dd2fde,4cee38d9d088cf021bc5f5b9fda6764feeb1806a
61c931d50f3e32f70abf1bccddf2479212dd2fde,7c70459d56214a7a3202732670f5ce726508eff6
61c931d50f3e32f70abf1bccddf2479212dd2fde,ce2a41d31657c32a4945d79d5902b1576fed3ad8
61c931d50f3e32f70abf1bccddf2479212dd2fde,da4e2841527a68abc9375457d5c8b87db35fa8e2
61c931d50f3e32f70abf1bccddf2479212dd2fde,acc813b2636724749fb88b978a64b885da047f8d
61c931d50f3e32f70abf1bccddf2479212dd2fde,068d0cd2a3519fc76585359afeaff82e431ce9b2
